FID,geom,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,building,description,name,opening_hours,type,wheelchair,osm_id,osm_type,editlink,tutoriallink,check_date,diet:vegetarian,opening_hours:signed,cuisine,operator,phone,atm,contact:website,source,toilets:wheelchair,addr:country,image,website,name:de,outdoor_seating,takeaway,contact:email,contact:phone,building:levels,roof:levels,roof:shape,smoking,contact:fax,source:date,addr:housename,diet:vegan,toilets,delivery,email,fax,payment:cash,source:geometry,building:first_floor_high,contact:mobile,shop,internet_access,was:military,was:name,building:part,int_name,internet_access:fee,addr:place,source:addr,disused:phone,height,opening_hours:covid19,roof:colour,start_date:name,seasonal,air_conditioning,indoor_seating,wifi,sport,building:colour,toilets:access,building:material,old_name,source:housenumber,tourism,ele,name:en,check_date:opening_hours,bar,smoking:outside,contact:facebook,note,brand,brand:wikidata,level,alt_name,start_date,update,lastcheck,wheelchair:description:de,wheelchair:description:en,changing_table,changing_table:count,toilets:disposal,toilets:female,toilets:male,toilets:unisex,craft,capacity,designation,diet:gluten_free,owner,outdoor,source:name,menu_languages,number_of_menulanguages,contact:instagram,internet_access:ssid,last_check,brand:wikipedia,fixme,breakfast,cafe,payment:credit_cards,payment:debit_cards,rooms,seating,surveillance,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,payment:paypal,official_name,food,ref:vatin,wheelchair:description,drive_in,seating:indoor,seating:outdoor,gay,menu,drink:club-mate,music,cafe_€,cappuchino_€,opening_hours:kitchen,description:de,description:en,diet:local,dog,currency:eur,payment:account_cards,payment:apple_pay,payment:contactless,addr:floor,highchair,kids_area,drink:soy_milk,man_made,lottery,entrance,addr:unit,self_service,snack,url,old_name2,changing_table:location,access:covid19,delivery:covid19,organic,disused:amenity,description:covid19,takeaway:covid19,beer_garden,source:wheelchair,old_website,min_age,payment:girocard,alt_name_1,last_checked,status,access,survey:date,old_name1,diet:kosher,disused:name,was:shop,payment:mastercard,payment:visa,payment:avia_ringcard,payment:dkv,payment:euroshell,payment:notes:note,payment:total_card,payment:uta,payment:westfalen_card,takeaway:ice_cream,diet:halal,branch,payment:maestro,reservation,opening_hours:lastcheck,opening_hours:url,opening_date
MRN_OSM_amenity_cafe_4326_Point.11,POINT (8.622142066666667 49.68011816666667),Bensheim,45,64625,Hauptstraße,,cafe,yes,,Teatime,,,limited,123476252,way,https://www.openstreetmap.org/way/123476252,https://learnosm.org/de/beginner/,,,,,,,,http://www.teatime-bensheim.de,,,DE,,,,,,info@teatime-bensheim.de,+49 6251 62636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.12,POINT (8.621231 49.68003695),Bensheim,13,64625,Am Rinnentor,,cafe,yes,,Café Soleil,Mo-Fr 09:00-18:00; Sa 09:00-16:00,,,123486527,way,https://www.openstreetmap.org/way/123486527,https://learnosm.org/de/beginner/,,,,,Jörg Brüderle,,,http://www.kaffeesoleil.de,,,DE,,,,,,geniesse@kaffeesoleil.de,+49 6251 8693610,2,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.13,POINT (8.621820971428571 49.68212878571429),Bensheim,7,64625,Hauptstraße,,cafe,yes,,Felicitá,Mo-Su 10:30-21:30,,yes,123586557,way,https://www.openstreetmap.org/way/123586557,https://learnosm.org/de/beginner/,,,,ice_cream;italian,Davide Atzeni,+496251 8530994,,,,,DE,,https://www.felicita-bensheim.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.14,POINT (8.622661047058823 49.700437994117635),Bensheim,5,64625,Bachgasse,Auerbach,cafe,yes,,Eisboutique Da Carlo,Mo-Sa 09:00-21:00; Su 10:00-21:00,,,129721666,way,https://www.openstreetmap.org/way/129721666,https://learnosm.org/de/beginner/,,,,ice_cream,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.15,POINT (8.3160396 49.117492025),Neupotz,1,76777,Kirchstraße,,cafe,yes,,Cafe Gehrlein,,,,134460345,way,https://www.openstreetmap.org/way/134460345,https://learnosm.org/de/beginner/,,,,,,,,,Bing,,DE,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.16,POINT (8.1477283 49.35563925),Neustadt an der Weinstraße,7,,Festplatzstraße,,cafe,yes,,Kaffeebar Winzig,Mo-Fr 09:00-17:00; Sa 10:00-17:00,,yes,134628092,way,https://www.openstreetmap.org/way/134628092,https://learnosm.org/de/beginner/,,,,coffee_shop,,,,http://www.cafewinzig.de/,http://www.cafewinzig.de/,,,,,,,,cafewinzig@mailbox.org,+49 6321 8904010,,,,,+49 6321 8904011,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.17,POINT (8.385805 49.260114599999994),Römerberg,,67354,Schindweg,Mechtersheim,cafe,yes,,SunSeeBar Mechtersheim,,,,136106363,way,https://www.openstreetmap.org/way/136106363,https://learnosm.org/de/beginner/,,,,regional,,,,,,,DE,,https://www.sunseebar.de/,,yes,,,,,,,,,,Beachbar Mechtersheim,no,separate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.18,POINT (8.319494319999999 49.60958996666667),Worms,9,67551,Turnhallenstraße,Horchheim,cafe,yes,,Horchheimer Scheune,Tu-Fr 10:00-18:00; Sa 10:00-13:00; Su 09:30-12:00,,limited,142033139,way,https://www.openstreetmap.org/way/142033139,https://learnosm.org/de/beginner/,,yes,,chocolate,Tanja Emler-Rupp,+49 6241 951044,,,,,DE,,https://horchheimer-scheune.de,,yes,no,,,,,,outside,,,,,,no,emler-rupp@horchheimer-scheune.de,+49 6241 951044,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.19,POINT (8.71443745 49.407235012499996),Heidelberg,33,69117,Klingenteichstraße,,cafe,yes,,Station Molkenkur,,,,147497867,way,https://www.openstreetmap.org/way/147497867,https://learnosm.org/de/beginner/,,,,,,,,,,,DE,,https://www.riosk.de/,,,,,,,,,,,,,,,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.20,POINT (8.4779271 49.460254649999996),Mannheim,91,68163,Feldbergstraße,,cafe,retail,,Eiscafé Feldberg,12:00 - 20:00,,yes,152590938,way,https://www.openstreetmap.org/way/152590938,https://learnosm.org/de/beginner/,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Kiosk_Nalu_Mannheim-Niederfeld.jpg,,,,,,,1,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.21,POINT (8.82008062 49.321816580000004),Meckesheim,19,,Friedrichstraße,,cafe,yes,,Eiscafe und Pizzaria da Maria,"PH,Tu-Su 09:30-21:00",,limited,158177351,way,https://www.openstreetmap.org/way/158177351,https://learnosm.org/de/beginner/,,,,italian,,,,,survey,,DE,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.22,POINT (8.1623286 49.392418344444444),Neustadt an der Weinstraße,69,67435,Erika-Köth-Straße,,cafe,yes,,Weinstrassenatelier Ludwig Fellner,May-Oct: Sa-Su 14:00-18:00,,,161912928,way,https://www.openstreetmap.org/way/161912928,https://learnosm.org/de/beginner/,,,,,,,,https://www.weinstrassenatelier.de/,https://www.weinstrassenatelier.de/,,,,,,terrace,,fellner@weinstrassenatelier.de,,,,,,,2019-09-13,,,,,,,,,,+49 1520 4087519,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.23,POINT (8.571811472727273 49.38413690909092),,,,,,cafe,yes,,Kurfürstenstube,,,yes,165028956,way,https://www.openstreetmap.org/way/165028956,https://learnosm.org/de/beginner/,,,,,,,,,,,,,https://www.kurfuerstenstube-schwetzingen.de/,,,,,,1,1,mansard,,,,,,,,,,,Maps4BW,,,,no,checkpoint,südliches Wachhäuschen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.24,POINT (8.477531650000001 49.488032566666675),Mannheim,,68161,Mozartstraße,,cafe,yes,,Theater-Café,"""ab 1 Stunde vor Vorstellungsbeginn""",,yes,168246142,way,https://www.openstreetmap.org/way/168246142,https://learnosm.org/de/beginner/,,,,,Nationaltheater Mannheim,,,,,,DE,,https://www.nationaltheater-mannheim.de/de/service/gastronomie/theatercafe.php,,,,,,1,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.25,POINT (8.984491025 49.46452672499999),Eberbach,38,69412,Bahnhofstraße,,cafe,yes,,Cafe Reichspost,,,limited,168740737,way,https://www.openstreetmap.org/way/168740737,https://learnosm.org/de/beginner/,,,,,,+49 6271 2575,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.26,POINT (8.434330075000002 49.467485325),Ludwigshafen am Rhein,54a,67061,Saarlandstraße,,cafe,yes,,La Paga Eis 2,,,,169202790,way,https://www.openstreetmap.org/way/169202790,https://learnosm.org/de/beginner/,,,,ice_cream,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.27,POINT (8.37205265 49.22022015),Germersheim,10,76726,Marktstraße,,cafe,yes,,Regen Café,Mo-Su 10:30+,,,170566618,way,https://www.openstreetmap.org/way/170566618,https://learnosm.org/de/beginner/,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.28,POINT (9.20682915 49.5286661),Mudau,14,69427,Arthur-Grimm-Weg,,cafe,yes,,Cafe Waldfrieden,,,,174437754,way,https://www.openstreetmap.org/way/174437754,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.29,POINT (8.897101216666666 49.44625478333334),Hirschhorn,17,69434,Hauptstraße,,cafe,,,Kaffeemanufaktur,"Th-Mo 09:00-17:30; Tu,We off",,,174672456,way,https://www.openstreetmap.org/way/174672456,https://learnosm.org/de/beginner/,,,,regional,,,,,,,DE,,http://www.kaffeemanufaktur-hirschhorn.de/,,yes,,,,,,,outside,,,,,,,,,,,,,,yes,,,yes,City Hall,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.30,POINT (8.462319185714286 49.48750255714286),Mannheim,6,68159,,,cafe,commercial,,Pourista Textilerei,,,,175497057,way,https://www.openstreetmap.org/way/175497057,https://learnosm.org/de/beginner/,,,,coffee_shop,,,,,,,DE,,https://www.pourista.de,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.31,POINT (9.3228147 49.52196575000001),Buchen (Odenwald),5,74722,Vorstadtstraße,,cafe,yes,,Venezia,,,,181635206,way,https://www.openstreetmap.org/way/181635206,https://learnosm.org/de/beginner/,,,,ice_cream,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.32,POINT (8.67250235 49.32720094166667),Leimen,6,69181,Hansastraße,St. Ilgen,cafe,commercial,,Park-Cafe,Mo-Su 08:00-22:00,,yes,181664175,way,https://www.openstreetmap.org/way/181664175,https://learnosm.org/de/beginner/,,,,,,,,,HiRes aerial imagery,yes,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.33,POINT (9.1910201 49.384830625),Elztal,,74834,Hauptstraße,Dallau,cafe,yes,,Back Drive in Englert,Mo-Fr 05:00-18:00; Sa 05:00-17:00; Su 07:00-17:00,,yes,188520168,way,https://www.openstreetmap.org/way/188520168,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.34,POINT (8.6835016 49.345282049999994),Leimen,2,69181,Tuchbleiche,,cafe,residential,,Cafe Leimen,,,,190647843,way,https://www.openstreetmap.org/way/190647843,https://learnosm.org/de/beginner/,,,,,,,,,HiRes aerial imagery,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
